                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.59945,                0.34051,                0.86866,                0.99718,                0.99927,                0.99468,                0.90505,                0.51535,                0.22618,                0.82612,              0.0082675,              0.0082675,              0.0082675
                     38,                0.60306,                0.34344,                0.86762,                0.99752,                0.99927,                 0.9947,                0.90507,                 0.5149,                0.22645,                0.82597,               0.008218,               0.008218,               0.008218
                     39,                0.59558,                0.33801,                0.86502,                0.99719,                0.99927,                0.99474,                0.90574,                0.51516,                0.22674,                0.82625,              0.0081685,              0.0081685,              0.0081685
                     40,                0.59376,                0.33658,                0.86767,                0.99691,                0.99927,                0.99476,                0.90591,                0.51562,                0.22064,                0.82555,               0.008119,               0.008119,               0.008119
                     41,                0.59338,                0.33427,                0.86522,                0.99724,                0.99921,                0.99474,                0.90538,                0.51431,                0.22216,                0.82562,              0.0080695,              0.0080695,              0.0080695
                     42,                0.59369,                0.33141,                0.86509,                0.99721,                0.99927,                0.99478,                0.90697,                0.51291,                 0.2227,                0.82594,                0.00802,                0.00802,                0.00802
                     43,                 0.5887,                0.33083,                0.86425,                0.99754,                0.99927,                0.99474,                 0.9072,                0.50954,                 0.2178,                0.82556,              0.0079705,              0.0079705,              0.0079705
                     44,                0.59861,                0.33647,                0.86591,                0.99748,                0.99927,                0.99475,                0.90622,                0.51026,                0.21929,                0.82561,               0.007921,               0.007921,               0.007921
                     45,                0.59252,                0.32825,                0.86493,                0.99746,                0.99927,                0.99474,                0.90623,                0.50879,                0.21662,                0.82595,              0.0078715,              0.0078715,              0.0078715
                     46,                 0.5941,                0.32916,                0.86594,                0.99756,                0.99927,                0.99478,                0.91017,                0.51068,                0.21783,                0.82595,               0.007822,               0.007822,               0.007822
                     47,                0.58935,                0.33005,                0.86378,                0.99725,                0.99927,                0.99475,                0.90844,                0.51041,                0.21635,                0.82522,              0.0077725,              0.0077725,              0.0077725
