                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65066,                0.37555,                0.88824,                0.97806,                0.97217,                0.98802,                0.76424,                0.83676,                0.38205,                0.95879,              0.0082675,              0.0082675,              0.0082675
                     38,                0.64664,                0.37006,                0.88881,                0.97564,                0.96776,                 0.9833,                0.76087,                  0.821,                0.36671,                0.95219,               0.008218,               0.008218,               0.008218
                     39,                0.64841,                0.37112,                0.87936,                0.97974,                0.97596,                0.98443,                0.76644,                0.84553,                0.35801,                0.96338,              0.0081685,              0.0081685,              0.0081685
                     40,                0.64382,                0.36836,                0.88471,                 0.9783,                0.97295,                0.98562,                0.77536,                0.82226,                0.35955,                0.94667,               0.008119,               0.008119,               0.008119
                     41,                0.63413,                0.36208,                0.88057,                0.98104,                0.97841,                0.98889,                0.77276,                0.81308,                0.35615,                0.95142,              0.0080695,              0.0080695,              0.0080695
                     42,                0.62301,                0.36209,                0.88145,                0.97896,                0.96661,                0.98776,                0.76434,                0.82186,                0.36946,                0.95795,                0.00802,                0.00802,                0.00802
                     43,                0.63341,                0.36423,                0.88167,                0.97871,                0.97017,                0.98346,                0.77117,                0.81802,                0.35368,                  0.947,              0.0079705,              0.0079705,              0.0079705
                     44,                0.63322,                0.36358,                0.87823,                0.97976,                0.97257,                0.98459,                0.76395,                0.82876,                0.37303,                0.95718,               0.007921,               0.007921,               0.007921
                     45,                0.61439,                0.35565,                0.87518,                0.97649,                0.97554,                0.98537,                0.75896,                0.85293,                0.36232,                0.97781,              0.0078715,              0.0078715,              0.0078715
                     46,                0.62165,                 0.3559,                0.87988,                0.98141,                0.97841,                0.98722,                0.76339,                0.83205,                0.35623,                0.96256,               0.007822,               0.007822,               0.007822
                     47,                0.61772,                0.35189,                0.87536,                0.97657,                0.96509,                 0.9842,                0.76631,                0.83488,                0.36528,                0.96687,              0.0077725,              0.0077725,              0.0077725
                     48,                0.60779,                0.35153,                0.87038,                0.97244,                0.95696,                0.98512,                0.76527,                0.81951,                0.36491,                 0.9675,               0.007723,               0.007723,               0.007723
                     49,                0.60175,                0.35473,                0.86901,                0.97392,                0.97234,                0.97883,                0.75923,                0.83555,                0.36667,                0.96912,              0.0076735,              0.0076735,              0.0076735
                     50,                0.60064,                 0.3481,                0.86877,                0.97994,                0.96796,                0.98256,                0.76819,                0.81613,                 0.3482,                0.95484,               0.007624,               0.007624,               0.007624
                     51,                0.58681,                 0.3415,                0.86872,                0.97615,                0.96762,                0.98415,                0.76556,                0.82579,                0.37484,                0.96756,              0.0075745,              0.0075745,              0.0075745
                     52,                0.59713,                0.34975,                 0.8705,                0.97348,                0.96754,                0.98462,                0.76232,                0.81256,                0.36162,                0.96637,               0.007525,               0.007525,               0.007525
                     53,                0.58766,                0.33771,                0.86104,                0.97624,                0.96982,                0.98511,                0.77048,                0.80825,                0.34732,                0.96162,              0.0074755,              0.0074755,              0.0074755
                     54,                0.58779,                0.34252,                0.87006,                 0.9825,                0.96641,                0.98602,                0.78229,                0.81116,                0.35916,                0.95496,               0.007426,               0.007426,               0.007426
                     55,                0.59032,                 0.3419,                0.87114,                0.97611,                0.96893,                0.98485,                0.76296,                0.82727,                 0.3482,                0.96601,              0.0073765,              0.0073765,              0.0073765
                     56,                0.58327,                0.34325,                0.86668,                0.97637,                0.97817,                0.98244,                0.76704,                0.83105,                0.35853,                0.97051,               0.007327,               0.007327,               0.007327
                     57,                0.57684,                0.33784,                0.86671,                0.97618,                0.97283,                0.98799,                0.77113,                0.82464,                0.34981,                 0.9556,              0.0072775,              0.0072775,              0.0072775
                     58,                0.58033,                0.33722,                0.86737,                0.98213,                0.98097,                0.98817,                0.76928,                0.82192,                0.35337,                0.95966,               0.007228,               0.007228,               0.007228
                     59,                0.57476,                0.33511,                0.86412,                0.98091,                0.96223,                0.98567,                0.76756,                0.81196,                0.35311,                0.95538,              0.0071785,              0.0071785,              0.0071785
                     60,                0.56518,                0.33478,                0.86439,                0.98092,                0.97174,                0.98529,                0.76971,                0.79704,                0.34491,                 0.9555,               0.007129,               0.007129,               0.007129
                     61,                0.56078,                0.32662,                0.86067,                0.98058,                0.97843,                0.98882,                  0.774,                0.81299,                0.34616,                0.95211,              0.0070795,              0.0070795,              0.0070795
                     62,                0.56572,                0.33199,                 0.8627,                0.98194,                0.97748,                0.98751,                 0.7727,                0.79979,                0.34775,                0.95335,                0.00703,                0.00703,                0.00703
                     63,                0.56107,                0.33018,                0.86044,                0.97754,                0.97191,                0.98854,                0.76841,                0.81021,                0.35812,                0.96472,              0.0069805,              0.0069805,              0.0069805
                     64,                0.55825,                0.32603,                0.86214,                 0.9817,                0.98421,                0.98902,                0.77287,                0.81881,                0.34775,                0.96713,               0.006931,               0.006931,               0.006931
                     65,                0.54783,                0.32466,                0.85778,                0.97702,                0.97231,                0.97885,                0.75936,                0.82956,                0.33732,                0.96938,              0.0068815,              0.0068815,              0.0068815
                     66,                0.55224,                0.32267,                0.86082,                0.97923,                 0.9799,                0.98618,                0.76839,                0.81076,                0.34979,                0.97006,               0.006832,               0.006832,               0.006832
                     67,                0.55815,                0.32733,                  0.866,                0.97382,                0.97129,                0.97818,                 0.7675,                0.81484,                0.36649,                0.97056,              0.0067825,              0.0067825,              0.0067825
                     68,                0.55308,                0.32601,                0.85837,                0.97466,                 0.9728,                0.97995,                0.76643,                0.81927,                0.33993,                0.97901,               0.006733,               0.006733,               0.006733
                     69,                0.53955,                0.31646,                0.85071,                0.97795,                0.96872,                0.97958,                0.76307,                0.82501,                0.35712,                0.97512,              0.0066835,              0.0066835,              0.0066835
                     70,                0.53674,                0.31864,                0.85263,                0.98072,                0.97462,                0.98591,                0.76482,                0.83127,                0.34826,                0.97002,               0.006634,               0.006634,               0.006634
                     71,                0.54589,                0.31745,                0.85922,                0.98204,                0.98001,                0.98927,                0.76955,                0.81464,                0.33932,                0.96589,              0.0065845,              0.0065845,              0.0065845
                     72,                0.54003,                0.31928,                0.86127,                  0.983,                0.97047,                0.98897,                 0.7735,                 0.7999,                0.33578,                0.96657,               0.006535,               0.006535,               0.006535
                     73,                0.52787,                0.31221,                0.85396,                0.98298,                0.97007,                 0.9853,                0.77258,                 0.8088,                0.33467,                0.96716,              0.0064855,              0.0064855,              0.0064855
