                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0334,                 2.6683,                 1.1346,                0.00326,                      1,                0.05566,                0.04981,                0.59616,                  3.465,                0.85464,             0.00054023,             0.00054023,             0.00054023
                      2,                0.87064,                 1.4999,                 1.0213,                      1,                0.71877,                0.99192,                0.81834,                0.66703,                 2.4832,                0.85641,              0.0010923,              0.0010923,              0.0010923
                      3,                0.79962,                 1.2667,                0.97486,                0.99462,                0.99497,                  0.995,                0.84922,                0.66105,                 1.1918,                0.86618,              0.0016407,              0.0016407,              0.0016407
                      4,                 0.7788,                 1.0691,                0.97352,                 0.9758,                      1,                  0.995,                0.87449,                0.63005,                 0.8597,                0.87988,              0.0016505,              0.0016505,              0.0016505
                      5,                0.72396,                  0.896,                0.95347,                0.99621,                      1,                  0.995,                0.87455,                 0.5621,                0.71563,                0.85101,              0.0016505,              0.0016505,              0.0016505
                      6,                0.74147,                0.81186,                0.94061,                0.98007,                      1,                0.99047,                0.82584,                0.68732,                0.65432,                0.87497,               0.001645,               0.001645,               0.001645
                      7,                 0.7208,                0.74622,                0.94015,                0.99002,                      1,                  0.995,                 0.8794,                 0.5535,                0.59874,                0.85157,              0.0016395,              0.0016395,              0.0016395
                      8,                0.66517,                0.64554,                0.92027,                0.98965,                0.99745,                  0.995,                0.86612,                0.53479,                0.58502,                0.83557,               0.001634,               0.001634,               0.001634
                      9,                 0.6421,                0.61859,                0.91226,                0.99578,                      1,                  0.995,                0.90261,                 0.4941,                0.49012,                0.82776,              0.0016285,              0.0016285,              0.0016285
                     10,                0.62465,                 0.5646,                 0.9064,                0.99494,                      1,                  0.995,                0.88215,                0.49868,                0.41524,                0.82707,               0.001623,               0.001623,               0.001623
                     11,                0.60141,                0.53491,                0.90421,                 0.9948,                      1,                  0.995,                0.89424,                0.44639,                0.40541,                0.82121,              0.0016175,              0.0016175,              0.0016175
                     12,                0.60959,                0.50762,                0.89301,                0.99462,                      1,                  0.995,                0.88586,                0.51716,                0.39066,                0.82572,               0.001612,               0.001612,               0.001612
                     13,                0.64378,                0.51101,                0.91736,                0.99466,                      1,                  0.995,                 0.8917,                0.47762,                0.37621,                0.83191,              0.0016065,              0.0016065,              0.0016065
                     14,                0.61869,                0.49528,                0.90877,                0.99546,                      1,                  0.995,                 0.9007,                0.46512,                 0.3805,                0.82328,               0.001601,               0.001601,               0.001601
                     15,                0.60045,                0.46458,                0.90781,                0.99308,                      1,                  0.995,                0.87906,                0.47451,                0.35094,                 0.8322,              0.0015955,              0.0015955,              0.0015955
                     16,                0.55308,                0.43822,                0.88778,                0.99107,                      1,                  0.995,                0.88672,                0.47452,                0.35062,                0.83377,                0.00159,                0.00159,                0.00159
                     17,                0.60447,                0.45868,                0.90365,                 0.9961,                      1,                  0.995,                0.88176,                0.48831,                 0.3744,                0.82403,              0.0015845,              0.0015845,              0.0015845
                     18,                 0.5778,                 0.4442,                0.89551,                0.99684,                      1,                  0.995,                0.89995,                0.46206,                0.31778,                 0.8131,               0.001579,               0.001579,               0.001579
                     19,                0.60126,                0.43646,                 0.9045,                0.99582,                      1,                  0.995,                0.90688,                0.42645,                0.33097,                0.81259,              0.0015735,              0.0015735,              0.0015735
                     20,                0.59872,                0.43603,                0.90703,                0.99505,                      1,                  0.995,                0.87303,                0.50863,                0.32846,                0.84654,               0.001568,               0.001568,               0.001568
                     21,                0.60452,                0.43864,                0.90551,                0.99668,                      1,                  0.995,                0.89184,                0.50608,                0.37316,                0.84839,              0.0015625,              0.0015625,              0.0015625
                     22,                0.58201,                0.42816,                 0.9023,                0.99564,                      1,                  0.995,                0.91598,                0.43179,                0.30381,                0.80712,               0.001557,               0.001557,               0.001557
                     23,                0.54402,                0.39353,                0.88772,                0.99659,                      1,                  0.995,                0.88972,                0.40832,                 0.2971,                0.80901,              0.0015515,              0.0015515,              0.0015515
                     24,                0.55274,                0.40391,                0.88209,                0.99459,                      1,                  0.995,                0.90396,                0.44917,                0.31282,                0.81718,               0.001546,               0.001546,               0.001546
                     25,                0.54707,                 0.4037,                0.87937,                 0.9965,                      1,                  0.995,                0.92315,                0.42251,                0.31371,                0.81249,              0.0015405,              0.0015405,              0.0015405
                     26,                0.54022,                0.39071,                0.87892,                0.99691,                      1,                  0.995,                0.89235,                0.41054,                0.32153,                0.81367,               0.001535,               0.001535,               0.001535
                     27,                0.53249,                0.38981,                0.87777,                 0.9969,                      1,                  0.995,                0.92018,                0.40132,                 0.3054,                0.80905,              0.0015295,              0.0015295,              0.0015295
                     28,                0.53926,                0.38722,                0.86945,                0.99366,                      1,                  0.995,                0.91371,                0.42128,                0.28276,                 0.8053,               0.001524,               0.001524,               0.001524
                     29,                0.53968,                0.37744,                0.87978,                0.99654,                      1,                  0.995,                0.92147,                0.42898,                0.28641,                0.80906,              0.0015185,              0.0015185,              0.0015185
                     30,                0.53528,                0.37862,                0.89115,                0.99663,                      1,                  0.995,                  0.911,                0.43285,                0.29799,                 0.8096,               0.001513,               0.001513,               0.001513
                     31,                  0.529,                0.37315,                0.88743,                0.99628,                      1,                  0.995,                0.90808,                0.42196,                0.30592,                0.81938,              0.0015075,              0.0015075,              0.0015075
                     32,                 0.5342,                0.37633,                 0.8774,                0.99661,                      1,                  0.995,                 0.9208,                0.42782,                0.28117,                0.80601,               0.001502,               0.001502,               0.001502
                     33,                0.54407,                 0.3728,                0.88204,                0.99661,                      1,                  0.995,                0.92466,                0.42737,                0.29882,                 0.8008,              0.0014965,              0.0014965,              0.0014965
                     34,                0.52387,                0.35706,                0.87284,                0.99638,                      1,                  0.995,                0.90849,                0.45456,                0.29857,                0.81063,               0.001491,               0.001491,               0.001491
                     35,                0.55077,                0.37026,                0.88175,                0.99429,                      1,                  0.995,                0.92136,                0.41123,                0.28656,                 0.8078,              0.0014855,              0.0014855,              0.0014855
                     36,                 0.5449,                0.38046,                0.89041,                0.99691,                      1,                  0.995,                0.90976,                0.45051,                0.31318,                0.80767,                0.00148,                0.00148,                0.00148
                     37,                0.51034,                0.34879,                0.86615,                0.99513,                      1,                  0.995,                 0.9076,                 0.4302,                 0.2919,                0.80352,              0.0014745,              0.0014745,              0.0014745
                     38,                0.52523,                0.36524,                0.87025,                0.99602,                      1,                  0.995,                0.88147,                0.47188,                0.32136,                0.82895,               0.001469,               0.001469,               0.001469
                     39,                 0.5243,                0.37124,                0.88176,                0.99608,                      1,                  0.995,                0.90952,                0.40605,                0.28245,                0.80064,              0.0014635,              0.0014635,              0.0014635
                     40,                0.52623,                0.35914,                0.88066,                0.99653,                      1,                  0.995,                0.90831,                0.42008,                0.26494,                0.80156,               0.001458,               0.001458,               0.001458
                     41,                0.51964,                0.36134,                0.88154,                0.99149,                0.99831,                  0.995,                0.92308,                0.45304,                 0.2944,                0.81904,              0.0014525,              0.0014525,              0.0014525
                     42,                0.51535,                0.35609,                0.87736,                0.99608,                      1,                  0.995,                0.92181,                0.40679,                0.28544,                0.80307,               0.001447,               0.001447,               0.001447
                     43,                0.51742,                0.35142,                0.87575,                0.99593,                      1,                  0.995,                0.92296,                0.43731,                0.26735,                0.81028,              0.0014415,              0.0014415,              0.0014415
                     44,                 0.4999,                0.34387,                0.86375,                0.99671,                      1,                  0.995,                0.92046,                0.47094,                0.29155,                 0.8184,               0.001436,               0.001436,               0.001436
                     45,                0.50301,                 0.3417,                0.87564,                0.99676,                      1,                  0.995,                0.91897,                0.41552,                0.27251,                0.80072,              0.0014305,              0.0014305,              0.0014305
                     46,                0.50599,                 0.3417,                0.87172,                 0.9969,                      1,                  0.995,                0.92443,                0.41237,                0.27672,                0.80387,               0.001425,               0.001425,               0.001425
                     47,                0.51886,                0.34878,                0.87033,                0.99592,                      1,                  0.995,                0.91665,                0.44403,                0.27018,                 0.8081,              0.0014195,              0.0014195,              0.0014195
                     48,                  0.512,                 0.3365,                0.86648,                0.99518,                      1,                  0.995,                 0.9241,                0.42992,                0.26716,                 0.8009,              0.0014139,              0.0014139,              0.0014139
                     49,                0.48626,                0.32852,                0.86216,                0.99366,                      1,                  0.995,                0.91961,                0.39891,                0.26326,                0.80339,              0.0014084,              0.0014084,              0.0014084
                     50,                0.49197,                0.33139,                0.86991,                0.99694,                      1,                  0.995,                0.93096,                0.38792,                0.26383,                0.79834,              0.0014029,              0.0014029,              0.0014029
                     51,                0.48819,                0.33459,                0.86903,                0.99536,                      1,                  0.995,                0.90751,                0.44633,                0.27882,                0.81446,              0.0013974,              0.0013974,              0.0013974
                     52,                0.47806,                0.33113,                0.85832,                0.99683,                      1,                  0.995,                0.92714,                0.39745,                0.27165,                0.80115,              0.0013919,              0.0013919,              0.0013919
                     53,                0.48085,                0.31737,                 0.8612,                0.99684,                      1,                  0.995,                0.93063,                0.40199,                0.25704,                0.80245,              0.0013864,              0.0013864,              0.0013864
                     54,                0.50802,                0.33254,                0.86795,                0.99489,                      1,                  0.995,                0.89602,                   0.47,                0.28842,                  0.825,              0.0013809,              0.0013809,              0.0013809
                     55,                0.49794,                0.33412,                 0.8692,                0.99608,                      1,                  0.995,                0.92207,                0.41959,                0.26081,                0.80819,              0.0013754,              0.0013754,              0.0013754
                     56,                0.47823,                0.32853,                0.86916,                0.99686,                      1,                  0.995,                0.91773,                0.39837,                0.26848,                0.80371,              0.0013699,              0.0013699,              0.0013699
                     57,                0.48324,                0.32485,                0.86996,                0.99583,                      1,                  0.995,                 0.9166,                0.41874,                0.27067,                0.80379,              0.0013644,              0.0013644,              0.0013644
                     58,                0.49171,                0.33698,                0.86676,                0.99697,                      1,                  0.995,                0.91414,                0.41851,                 0.2743,                0.80199,              0.0013589,              0.0013589,              0.0013589
                     59,                 0.4819,                0.32796,                0.87135,                0.99562,                      1,                  0.995,                0.90305,                0.41838,                0.26928,                0.80339,              0.0013534,              0.0013534,              0.0013534
                     60,                0.47583,                 0.3155,                0.86585,                  0.997,                      1,                  0.995,                0.95336,                0.38066,                0.25496,                0.79464,              0.0013479,              0.0013479,              0.0013479
                     61,                0.46806,                0.31245,                0.85666,                0.99617,                      1,                  0.995,                0.94932,                 0.4035,                0.26113,                0.79708,              0.0013424,              0.0013424,              0.0013424
