                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66588,                0.45896,                0.92825,                0.99097,                0.99375,                0.99389,                0.86057,                0.60395,                0.28804,                0.87713,             0.00018973,             0.00018973,             0.00018973
                     37,                0.66642,                0.46834,                0.92905,                0.99333,                0.99577,                0.99412,                0.86118,                0.60422,                0.28371,                0.87497,              0.0001869,              0.0001869,              0.0001869
                     38,                0.66451,                0.46745,                0.92724,                0.99497,                0.98996,                0.99362,                0.86268,                0.59792,                0.28778,                0.87262,             0.00018407,             0.00018407,             0.00018407
                     39,                0.65801,                0.45037,                0.92748,                0.99448,                0.99106,                0.99381,                0.86217,                0.59899,                0.28393,                0.87324,             0.00018124,             0.00018124,             0.00018124
                     40,                0.65523,                0.44925,                0.92652,                0.99575,                0.99224,                0.99405,                0.86705,                0.58664,                0.27653,                0.87109,             0.00017841,             0.00017841,             0.00017841
                     41,                0.65153,                0.44242,                0.92371,                0.99253,                0.99232,                0.99396,                0.86784,                0.58285,                0.27461,                0.86827,             0.00017558,             0.00017558,             0.00017558
                     42,                0.63711,                0.43976,                0.92068,                0.99236,                0.99224,                0.99373,                0.86975,                0.58645,                0.27758,                0.86671,             0.00017558,             0.00017558,             0.00017558
                     43,                0.63394,                0.42948,                0.91785,                0.99363,                0.99301,                  0.994,                0.87222,                0.58201,                  0.275,                0.86726,             0.00016991,             0.00016991,             0.00016991
                     44,                0.63866,                0.43152,                 0.9193,                 0.9902,                0.99608,                0.99391,                0.86952,                0.57776,                0.27267,                0.86691,             0.00016708,             0.00016708,             0.00016708
                     45,                0.63572,                0.42763,                0.91845,                0.99414,                0.99043,                0.99375,                 0.8721,                0.57982,                0.27258,                0.86549,             0.00016425,             0.00016425,             0.00016425
                     46,                0.62357,                 0.4134,                0.91262,                0.99511,                0.99283,                0.99394,                0.87315,                0.57365,                 0.2677,                0.86605,             0.00016142,             0.00016142,             0.00016142
                     47,                0.62883,                0.42369,                0.91931,                0.99294,                0.99417,                0.99406,                0.87527,                0.56696,                0.26319,                 0.8623,             0.00015859,             0.00015859,             0.00015859
                     48,                0.62172,                0.41472,                0.91538,                0.99594,                0.99228,                0.99416,                0.87521,                0.56856,                 0.2627,                0.86217,             0.00015576,             0.00015576,             0.00015576
                     49,                0.62006,                 0.4168,                0.91442,                 0.9942,                0.99502,                0.99419,                0.87454,                0.56484,                0.26254,                0.86205,             0.00015292,             0.00015292,             0.00015292
                     50,                0.62088,                0.41738,                0.91654,                0.99247,                0.99491,                0.99417,                0.87944,                0.55838,                0.25743,                0.86003,             0.00015009,             0.00015009,             0.00015009
                     51,                0.61171,                0.40182,                0.91217,                0.99486,                0.99143,                0.99421,                0.87926,                0.55292,                0.25707,                0.85869,             0.00014726,             0.00014726,             0.00014726
                     52,                0.60859,                0.40608,                 0.9113,                0.99225,                0.99596,                 0.9941,                 0.8797,                0.55376,                0.25165,                0.85892,             0.00014443,             0.00014443,             0.00014443
                     53,                 0.6145,                0.39891,                 0.9119,                0.99298,                0.99361,                0.99406,                 0.8833,                0.55126,                 0.2533,                0.85709,              0.0001416,              0.0001416,              0.0001416
                     54,                0.58313,                0.38636,                0.90399,                0.99157,                0.98955,                0.99302,                0.84804,                0.67585,                0.28065,                0.89888,              0.0001416,              0.0001416,              0.0001416
                     55,                0.57921,                 0.3727,                0.89949,                 0.9923,                0.98834,                0.99285,                0.84562,                0.67132,                0.28083,                0.89693,             0.00013594,             0.00013594,             0.00013594
                     56,                0.57602,                0.37568,                0.90029,                0.99186,                0.99036,                0.99248,                0.84297,                0.67338,                0.28043,                 0.8947,              0.0001331,              0.0001331,              0.0001331
                     57,                 0.5749,                0.36726,                0.89942,                 0.9923,                0.99006,                0.99294,                0.84662,                0.66892,                0.27382,                0.89429,             0.00013027,             0.00013027,             0.00013027
                     58,                0.56658,                0.36265,                0.89518,                 0.9885,                0.99142,                 0.9927,                0.84683,                0.66899,                0.27823,                0.89514,             0.00012744,             0.00012744,             0.00012744
                     59,                0.56685,                0.37098,                0.89977,                 0.9907,                0.99166,                0.99284,                0.84643,                0.66946,                0.27262,                0.89646,             0.00012461,             0.00012461,             0.00012461
                     60,                0.56159,                0.36083,                0.89678,                0.99066,                0.99076,                0.99308,                0.84766,                0.66704,                0.27371,                0.89612,             0.00012178,             0.00012178,             0.00012178
                     61,                 0.5646,                0.36638,                0.89723,                0.99181,                0.98853,                 0.9935,                 0.8442,                0.67164,                 0.2771,                0.89782,             0.00011895,             0.00011895,             0.00011895
                     62,                0.55792,                0.36084,                0.89595,                 0.9916,                0.99033,                0.99301,                0.84889,                  0.668,                0.27461,                0.89829,             0.00011612,             0.00011612,             0.00011612
                     63,                0.55579,                0.35823,                0.89544,                0.99085,                0.98972,                0.99279,                0.84728,                0.66892,                 0.2764,                0.89729,             0.00011328,             0.00011328,             0.00011328
                     64,                0.55047,                0.36163,                 0.8942,                0.99222,                0.99031,                0.99265,                0.84662,                0.67187,                0.27719,                0.89809,             0.00011045,             0.00011045,             0.00011045
                     65,                0.56141,                0.36043,                0.89516,                0.99245,                0.98984,                0.99271,                0.84698,                0.67348,                0.27695,                 0.8959,             0.00010762,             0.00010762,             0.00010762
                     66,                 0.5838,                0.37868,                0.90255,                0.99124,                0.99009,                0.99303,                0.84789,                0.67091,                0.27391,                0.89608,             0.00010479,             0.00010479,             0.00010479
                     67,                  0.582,                0.37074,                0.90266,                0.99177,                0.98879,                0.99301,                0.85143,                0.66761,                0.27035,                0.89483,             0.00010196,             0.00010196,             0.00010196
                     68,                0.58566,                0.36975,                0.90143,                0.98991,                0.99065,                0.99325,                0.85186,                0.66443,                0.26663,                0.89271,             9.9128e-05,             9.9128e-05,             9.9128e-05
                     69,                0.57557,                0.36724,                0.90098,                0.99299,                 0.9873,                0.99365,                0.85451,                0.66215,                0.26642,                0.89122,             9.6296e-05,             9.6296e-05,             9.6296e-05
                     70,                0.57884,                0.37201,                0.89919,                 0.9904,                0.99137,                0.99341,                0.85057,                0.66722,                 0.2676,                0.89354,             9.3465e-05,             9.3465e-05,             9.3465e-05
                     71,                0.57497,                0.36535,                0.89926,                0.99235,                0.99025,                0.99316,                0.85281,                0.66365,                0.26867,                0.89209,             9.0633e-05,             9.0633e-05,             9.0633e-05
                     72,                0.56855,                0.36076,                0.90034,                0.99156,                0.99076,                0.99293,                0.85004,                0.66192,                0.26409,                0.89166,             8.7802e-05,             8.7802e-05,             8.7802e-05
                     73,                0.56344,                0.35749,                0.89615,                0.99265,                0.98963,                0.99324,                0.84786,                 0.6653,                0.26687,                0.89519,             8.4971e-05,             8.4971e-05,             8.4971e-05
                     74,                0.56569,                0.36191,                0.89801,                 0.9926,                0.98967,                0.99337,                0.85035,                0.65989,                0.26352,                0.89295,             8.2139e-05,             8.2139e-05,             8.2139e-05
                     75,                0.56489,                0.35881,                0.89751,                0.99238,                 0.9902,                0.99331,                0.85014,                0.66458,                0.26454,                0.89392,             7.9308e-05,             7.9308e-05,             7.9308e-05
                     76,                0.55941,                0.34851,                0.89462,                0.99259,                0.99032,                 0.9933,                0.85243,                0.66178,                0.26203,                0.89269,             7.6476e-05,             7.6476e-05,             7.6476e-05
                     77,                0.56731,                0.35462,                0.89773,                0.99349,                0.98957,                0.99368,                0.85111,                0.66475,                0.26331,                0.89365,             7.3645e-05,             7.3645e-05,             7.3645e-05
                     78,                0.55808,                0.35252,                0.89312,                0.99273,                0.98959,                0.99375,                0.85182,                0.66433,                0.26764,                0.89354,             7.0814e-05,             7.0814e-05,             7.0814e-05
                     79,                0.55119,                0.35153,                0.89038,                 0.9919,                0.98983,                0.99352,                0.85199,                0.66539,                0.26716,                0.89426,             6.7982e-05,             6.7982e-05,             6.7982e-05
                     80,                0.54732,                0.33743,                0.89279,                0.99254,                0.98971,                 0.9934,                 0.8507,                0.66785,                0.26223,                0.89476,             6.5151e-05,             6.5151e-05,             6.5151e-05
                     81,                0.55341,                0.34987,                  0.893,                0.99244,                0.99009,                0.99328,                0.85263,                0.67126,                0.26042,                 0.8959,             6.2319e-05,             6.2319e-05,             6.2319e-05
                     82,                0.54513,                0.35145,                0.89234,                0.99279,                0.99026,                0.99362,                0.85335,                0.66858,                0.26059,                0.89621,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     83,                0.54419,                0.33417,                0.89377,                0.99122,                0.99005,                0.99331,                0.85287,                0.67119,                0.26163,                 0.8987,             5.6657e-05,             5.6657e-05,             5.6657e-05
                     84,                0.54283,                0.33606,                0.89019,                0.99094,                0.99069,                 0.9935,                0.85413,                0.67029,                0.25985,                0.89715,             5.3825e-05,             5.3825e-05,             5.3825e-05
                     85,                0.53798,                0.33657,                0.88996,                0.99185,                0.98944,                0.99324,                0.85641,                0.66501,                0.25836,                0.89422,             5.0994e-05,             5.0994e-05,             5.0994e-05
                     86,                0.55507,                0.34686,                0.89581,                0.99131,                0.98993,                0.99346,                0.85622,                0.66545,                0.25795,                0.89444,             4.8162e-05,             4.8162e-05,             4.8162e-05
                     87,                0.55222,                 0.3417,                0.89275,                0.99093,                0.99177,                0.99355,                0.85514,                0.66622,                0.25714,                0.89478,             4.5331e-05,             4.5331e-05,             4.5331e-05
                     88,                 0.5502,                  0.346,                 0.8923,                0.99067,                0.99218,                0.99332,                0.85503,                0.66799,                0.25601,                0.89618,               4.25e-05,               4.25e-05,               4.25e-05
                     89,                0.53881,                0.33551,                0.88809,                0.99202,                0.99172,                 0.9934,                0.85495,                0.66644,                0.25579,                 0.8954,             3.9668e-05,             3.9668e-05,             3.9668e-05
                     90,                0.54458,                0.33794,                0.89251,                 0.9911,                0.99164,                0.99351,                0.85584,                0.66662,                0.25542,                0.89521,             3.6837e-05,             3.6837e-05,             3.6837e-05
                     91,                0.50677,                0.24386,                0.86988,                0.99199,                0.99088,                0.99357,                0.85406,                0.66926,                0.25602,                0.89702,             3.4005e-05,             3.4005e-05,             3.4005e-05
                     92,                0.49787,                0.24313,                0.86834,                0.99232,                0.99128,                0.99355,                0.85395,                0.67065,                0.25633,                0.89702,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     93,                0.49562,                0.23933,                0.86537,                0.99123,                0.99169,                0.99353,                0.85463,                0.67032,                0.25592,                0.89652,             2.8343e-05,             2.8343e-05,             2.8343e-05
                     94,                0.49201,                0.23802,                 0.8678,                0.99131,                0.99163,                0.99351,                0.85461,                0.67119,                0.25665,                0.89687,             2.5511e-05,             2.5511e-05,             2.5511e-05
                     95,                 0.4868,                0.23665,                0.86664,                0.99145,                0.99119,                0.99357,                 0.8547,                 0.6712,                0.25679,                0.89678,              2.268e-05,              2.268e-05,              2.268e-05
                     96,                0.48646,                0.23673,                0.86603,                0.99116,                0.99192,                0.99358,                0.85541,                0.67083,                0.25682,                0.89687,             1.9848e-05,             1.9848e-05,             1.9848e-05
                     97,                0.48154,                0.23136,                0.86354,                0.99114,                0.99188,                0.99349,                 0.8552,                0.67102,                0.25712,                0.89712,             1.7017e-05,             1.7017e-05,             1.7017e-05
                     98,                0.47916,                0.23006,                0.85954,                 0.9911,                0.99183,                0.99352,                  0.854,                0.67195,                0.25693,                0.89742,             1.4186e-05,             1.4186e-05,             1.4186e-05
                     99,                0.47709,                0.22795,                0.85737,                0.99109,                0.99172,                0.99355,                0.85491,                0.67118,                0.25655,                0.89728,             1.1354e-05,             1.1354e-05,             1.1354e-05
                    100,                0.47644,                0.22786,                0.86136,                0.99116,                0.99174,                0.99352,                0.85589,                0.67095,                0.25657,                0.89715,             8.5228e-06,             8.5228e-06,             8.5228e-06
