                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.62485,                0.34828,                0.92183,                0.99731,                0.99927,                0.99468,                0.89888,                0.52526,                  0.229,                 0.8686,               0.008845,               0.008845,               0.008845
                     38,                0.61885,                0.34158,                0.91807,                0.99725,                0.99927,                0.99467,                0.89904,                0.52192,                0.22671,                0.86761,               0.008812,               0.008812,               0.008812
                     39,                0.61816,                0.34274,                0.91547,                0.99695,                0.99927,                0.99473,                0.90215,                0.52498,                0.22624,                0.86734,               0.008779,               0.008779,               0.008779
                     40,                0.61557,                0.34342,                0.92122,                0.99721,                0.99927,                0.99472,                0.90146,                0.52169,                0.22384,                0.87225,               0.008746,               0.008746,               0.008746
                     41,                0.61583,                0.34482,                0.92501,                0.99751,                0.99927,                0.99471,                0.90165,                0.52286,                0.22614,                0.87556,               0.008713,               0.008713,               0.008713
                     42,                0.61235,                0.34584,                 0.9188,                0.99744,                0.99927,                0.99476,                0.90198,                0.51953,                0.22168,                0.86796,                0.00868,                0.00868,                0.00868
                     43,                0.61383,                0.33981,                 0.9139,                0.99768,                0.99927,                0.99477,                0.90284,                0.51916,                  0.221,                0.86546,               0.008647,               0.008647,               0.008647
                     44,                0.61218,                0.33818,                0.91399,                0.99742,                0.99927,                0.99476,                0.90329,                0.51777,                0.21939,                0.86515,               0.008614,               0.008614,               0.008614
                     45,                0.60765,                0.33578,                0.91004,                 0.9971,                0.99927,                0.99471,                 0.9022,                0.51858,                0.21913,                 0.8644,               0.008581,               0.008581,               0.008581
                     46,                0.60499,                0.33554,                0.91277,                0.99687,                0.99927,                0.99473,                0.90398,                0.51521,                0.21436,                 0.8659,               0.008548,               0.008548,               0.008548
                     47,                0.60994,                0.33503,                0.91451,                0.99763,                0.99927,                0.99471,                0.90677,                0.51681,                 0.2159,                0.86551,               0.008515,               0.008515,               0.008515
                     48,                0.60244,                0.33384,                0.91044,                0.99757,                0.99927,                0.99474,                0.90754,                 0.5146,                0.21333,                0.86087,               0.008482,               0.008482,               0.008482
                     49,                0.60423,                 0.3328,                0.91163,                0.99737,                0.99927,                0.99467,                 0.9045,                0.51581,                0.21461,                0.86395,               0.008449,               0.008449,               0.008449
                     50,                0.60685,                0.33777,                0.91244,                0.99726,                0.99927,                0.99476,                0.90621,                0.51539,                 0.2136,                0.86304,               0.008416,               0.008416,               0.008416
                     51,                0.60156,                0.32972,                0.90771,                0.99743,                0.99927,                0.99476,                0.90806,                0.51263,                0.21284,                0.86066,               0.008383,               0.008383,               0.008383
                     52,                0.60174,                 0.3303,                0.90494,                0.99755,                0.99927,                0.99475,                0.90631,                  0.511,                 0.2108,                0.85632,                0.00835,                0.00835,                0.00835
                     53,                0.60131,                0.32604,                0.90438,                0.99746,                0.99927,                0.99476,                0.90623,                0.51132,                0.20924,                0.85693,               0.008317,               0.008317,               0.008317
